City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
74,East London,ZA,7/12/2020 20:25,-33.02,27.91,60.12,55,0,19.22
75,Bluff,NZ,7/12/2020 20:23,-46.6,168.33,39,83,75,3
76,Lavrentiya,RU,7/12/2020 20:25,65.58,-171,45.37,76,7,4.56
77,Hami,CN,7/12/2020 20:25,42.8,93.45,76.5,35,50,7.76
78,Upernavik,GL,7/12/2020 20:25,72.79,-56.15,42.24,83,99,9.75
79,Coihaique,CL,7/12/2020 20:25,-45.58,-72.07,39.2,55,20,4.7
80,Ushtobe,KZ,7/12/2020 20:25,45.25,77.98,65.5,43,0,6.82
81,Najran,SA,7/12/2020 20:25,17.49,44.13,93.2,21,75,9.17
82,Tarko-Sale,RU,7/12/2020 20:25,64.92,77.78,54,84,93,10.11
83,Chokurdakh,RU,7/12/2020 20:25,70.63,147.92,59.32,58,69,9.8
84,Broken Hill,AU,7/12/2020 20:25,-31.95,141.43,42.8,93,4,10.29
85,Tura,IN,7/12/2020 20:25,25.52,90.22,74.53,97,82,6.58
86,Brae,GB,7/12/2020 20:24,60.4,-1.35,53.6,87,99,6.93
87,Ust-Nera,RU,7/12/2020 20:25,64.57,143.2,68.7,45,100,6.26
88,Souillac,MU,7/12/2020 20:23,-20.52,57.52,71.6,73,20,14.99
89,Puerto Ayora,EC,7/12/2020 20:23,-0.74,-90.35,70,86,88,1.99
90,Acapulco,MX,7/12/2020 20:24,16.86,-99.89,87.8,66,75,4.7
91,Evensk,RU,7/12/2020 20:25,61.95,159.23,60.37,81,61,0.98
92,San Cristobal,VE,7/12/2020 20:22,7.77,-72.22,87.8,52,40,6.93
93,Porto Santo,PT,7/12/2020 20:25,33.07,-16.34,69.8,73,40,16.11
94,Miri,MY,7/12/2020 20:25,4.41,114.01,78.8,94,40,4.09
95,Aksarayskiy,RU,7/12/2020 20:25,46.79,48.01,86,39,0,8.95
96,Klaksvik,FO,7/12/2020 20:25,62.23,-6.59,51.8,93,100,10.29
97,Luderitz,NA,7/12/2020 20:23,-26.65,15.16,55.4,93,4,1.12
98,Lukulu,ZM,7/12/2020 20:25,-14.37,23.24,61.16,32,0,5.55
99,Kruisfontein,ZA,7/12/2020 20:24,-34,24.73,52.75,40,0,7.47
100,Wewak,PG,7/12/2020 20:25,-3.55,143.63,78.55,82,100,0.72
101,Lerwick,GB,7/12/2020 20:25,60.15,-1.15,53.6,87,97,6.93
102,Lazaro Cardenas,MX,7/12/2020 20:25,17.96,-102.2,86.74,65,94,9.37
103,Longyearbyen,SJ,7/12/2020 20:23,78.22,15.64,46.4,75,75,2.24
104,Bayanday,RU,7/12/2020 20:25,53.07,105.51,57.52,91,87,1.68
105,Geraldton,AU,7/12/2020 20:25,-28.77,114.6,53.6,54,0,12.75
106,Cascais,PT,7/12/2020 20:25,38.7,-9.42,77,57,0,11.41
107,Chopda,IN,7/12/2020 20:25,21.25,75.3,82.18,71,46,9.75
108,Jamestown,US,7/12/2020 20:24,42.1,-79.24,75,60,1,12.75
109,Arlit,NE,7/12/2020 20:25,18.74,7.39,98.2,13,0,3
110,Nazare,BR,7/12/2020 20:25,-13.04,-39.01,74.26,82,17,4.5
111,Kavieng,PG,7/12/2020 20:23,-2.57,150.8,82.18,70,96,3.47
112,Tselina,RU,7/12/2020 20:25,46.53,41.03,79.34,44,59,9.22
113,Kahului,US,7/12/2020 20:21,20.89,-156.47,87.8,40,20,20.8
114,Raga,SS,7/12/2020 20:25,8.46,25.68,72.05,92,100,3.74
115,Katsuura,JP,7/12/2020 20:25,35.13,140.3,68,88,75,8.05
116,Baykit,RU,7/12/2020 20:25,61.67,96.37,53.42,89,70,1.34
117,Shestakovo,RU,7/12/2020 20:25,56.49,103.96,53.58,81,0,3.15
118,Carnarvon,AU,7/12/2020 20:23,-24.87,113.63,57.2,93,28,8.05
119,Horki,BY,7/12/2020 20:25,54.29,30.98,52.45,87,100,10.8
120,Oranjemund,NA,7/12/2020 20:25,-28.55,16.43,55.65,74,0,11.45
121,Mayo,US,7/12/2020 20:25,38.89,-76.51,87.01,54,40,9.17
122,Hay River,CA,7/12/2020 20:25,60.82,-115.8,62.6,77,75,4.7
123,Constitucion,CL,7/12/2020 20:25,-35.33,-72.42,57.06,71,100,7.58
124,Abu Samrah,SY,7/12/2020 20:25,35.3,37.18,73.33,72,0,11.86
125,Ojinaga,MX,7/12/2020 20:25,29.57,-104.42,104,9,1,16.11
126,Hastings,GB,7/12/2020 20:25,50.86,0.57,60.01,69,51,5.82
127,Belle Fourche,US,7/12/2020 20:25,44.67,-103.85,89.01,51,1,8.05
128,Narsaq,GL,7/12/2020 20:25,60.92,-46.05,59,58,100,6.93
129,Khatanga,RU,7/12/2020 20:25,71.97,102.5,53.92,83,100,14.47
130,Wilmington,US,7/12/2020 20:20,34.23,-77.94,84,83,90,8.05
131,Chapais,CA,7/12/2020 20:24,49.78,-74.85,62.6,88,90,11.41
132,Eyl,SO,7/12/2020 20:25,7.98,49.82,83.07,64,45,25.7
133,Surgana,IN,7/12/2020 20:25,20.57,73.62,73.47,91,68,8.86
134,Hays,US,7/12/2020 20:25,30.05,-98.03,102.99,33,14,1.99
135,Macau,MO,7/12/2020 20:25,22.2,113.55,84.2,83,40,9.17
136,Portland,US,7/12/2020 20:21,45.52,-122.68,73,60,75,5.82
137,Butaritari,KI,7/12/2020 20:23,3.07,172.79,83.48,77,14,16.22
138,Hofn,IS,7/12/2020 20:25,64.25,-15.21,52.03,94,100,5.12
139,Nome,US,7/12/2020 20:24,64.5,-165.41,64,77,1,6.93
140,Okhtyrka,UA,7/12/2020 20:25,50.31,34.9,66.51,68,0,6.55
141,Praia,CV,7/12/2020 20:25,14.92,-23.51,78.8,78,75,11.41
142,Heishan,CN,7/12/2020 20:25,41.69,122.11,70.61,85,100,3.2
143,Hasaki,JP,7/12/2020 20:25,35.73,140.83,64.4,100,75,6.93
144,Sompeta,IN,7/12/2020 20:25,18.93,84.6,83.88,78,100,8.1
145,Paamiut,GL,7/12/2020 20:25,61.99,-49.67,43.25,87,100,2.73
146,Puerto Del Rosario,ES,7/12/2020 20:25,28.5,-13.86,73.4,88,0,14.99
147,Dingle,PH,7/12/2020 20:24,11,122.67,76.42,91,78,3.31
148,Pisco,PE,7/12/2020 20:25,-13.7,-76.22,66,77,42,10.29
149,Axim,GH,7/12/2020 20:25,4.87,-2.24,74.66,89,48,8.08
150,Touros,BR,7/12/2020 20:25,-5.2,-35.46,78.8,65,20,8.05
151,Naze,JP,7/12/2020 20:25,28.37,129.48,80.6,94,40,3.36
152,Koulamoutou,GA,7/12/2020 20:25,-1.13,12.47,72.59,93,55,2.57
153,Angoche,MZ,7/12/2020 20:21,-16.23,39.91,72.63,81,0,7.81
154,Nivala,FI,7/12/2020 20:25,63.92,24.97,55,89,100,2.91
155,Zyryanka,RU,7/12/2020 20:24,65.75,150.85,68.59,49,100,3.09
156,Kapaa,US,7/12/2020 20:24,22.08,-159.32,82.4,65,40,16.11
157,Barrow,US,7/12/2020 20:21,71.29,-156.79,37.4,86,90,6.93
158,Cabuyaro,CO,7/12/2020 20:25,4.28,-72.79,84.47,63,5,5.12
159,Petauke,ZM,7/12/2020 20:25,-14.24,31.33,64.44,42,0,15.75
160,Vila Franca Do Campo,PT,7/12/2020 20:25,37.72,-25.43,69.8,68,75,6.93
161,Yantal,RU,7/12/2020 20:25,56.85,105.25,54.73,78,11,2.93
162,Saint-Joseph,RE,7/12/2020 20:25,-21.37,55.62,68,72,10,6.93
163,Ewo,CG,7/12/2020 20:25,-0.87,14.82,76.98,78,81,4.52
164,Belyy Yar,RU,7/12/2020 20:25,53.6,91.39,55.4,93,0,1.9
165,Severo-Kurilsk,RU,7/12/2020 20:25,50.68,156.12,49.8,92,100,8.77
166,Darnah,LY,7/12/2020 20:21,32.77,22.64,75.27,83,0,20
167,Inirida,CO,7/12/2020 20:21,3.87,-67.92,86.05,60,41,3.94
168,Faranah,GN,7/12/2020 20:25,10.04,-10.74,71.74,94,61,3
169,Dordrecht,NL,7/12/2020 20:25,51.81,4.67,63,74,93,4
170,Cape Town,ZA,7/12/2020 20:20,-33.93,18.42,57.2,71,75,27.51
171,Ribeira Grande,PT,7/12/2020 20:25,38.52,-28.7,73.4,73,20,14.99
172,Tagburos,PH,7/12/2020 20:25,9.83,118.73,79.36,84,100,4.52
173,Impfondo,CG,7/12/2020 20:25,1.64,18.07,74.61,85,52,1.36
174,Norman Wells,CA,7/12/2020 20:25,65.28,-126.83,60.8,77,75,6.93
175,Shenkursk,RU,7/12/2020 20:25,62.11,42.9,55.96,75,97,2.46
176,Vao,NC,7/12/2020 20:24,-22.67,167.48,71.49,80,52,19.8
177,Ludvika,SE,7/12/2020 20:25,60.15,15.19,53.6,71,26,4.7
178,Buraydah,SA,7/12/2020 20:25,26.33,43.98,102.2,20,40,6.93
179,Tasiilaq,GL,7/12/2020 20:23,65.61,-37.64,41,86,0,11.41
180,Beringovskiy,RU,7/12/2020 20:25,63.05,179.32,50.61,82,99,9.53
181,Leningradskiy,RU,7/12/2020 20:25,69.38,178.42,42.37,72,11,9.51
182,Salalah,OM,7/12/2020 20:25,17.02,54.09,82.4,88,90,4.7
183,Hojo,JP,7/12/2020 20:25,33.98,132.78,71.01,99,100,11.95
184,Chuy,UY,7/12/2020 20:23,-33.7,-53.46,51.93,68,0,8.52
185,Hammerfest,NO,7/12/2020 20:25,70.66,23.68,55.4,62,34,12.75
186,Roma,US,7/12/2020 20:25,43.21,-75.46,82.4,54,75,10.29
187,Yigou,CN,7/12/2020 20:25,35.81,114.32,68.56,84,67,6.15
188,Dwarka,IN,7/12/2020 20:25,22.24,68.97,83.8,83,69,18.25
189,Progreso,MX,7/12/2020 20:25,21.28,-89.67,98.01,44,75,11.86
190,Sao Sebastiao,BR,7/12/2020 20:25,-23.76,-45.41,79.65,58,12,2.19
191,Odweyne,SO,7/12/2020 20:25,9.41,45.06,77.85,44,5,17.43
192,Ilabaya,PE,7/12/2020 20:25,-17.42,-70.51,70.92,25,0,7.74
193,Tucuma,BR,7/12/2020 20:25,-0.18,-50.05,85.19,68,94,6.35
194,Chernyshevskiy,RU,7/12/2020 20:25,63.01,112.47,53.37,86,14,3.2
195,Clyde River,CA,7/12/2020 20:25,70.47,-68.59,44.6,87,90,10.29
196,Dalvik,IS,7/12/2020 20:25,65.97,-18.53,55.4,82,90,6.93
197,Husavik,IS,7/12/2020 20:23,66.04,-17.34,55.4,82,90,6.93
198,Camargo,MX,7/12/2020 20:25,27.67,-105.17,94.55,13,51,4.45
199,Marawi,PH,7/12/2020 20:25,8,124.29,73.99,90,100,5.01
200,Grindavik,IS,7/12/2020 20:25,63.84,-22.43,50,93,90,4.7
201,Vardo,NO,7/12/2020 20:25,70.37,31.11,46.4,93,75,6.93
202,Port Blair,IN,7/12/2020 20:25,11.67,92.75,81.91,80,100,12.95
203,Saint-Augustin,CA,7/12/2020 20:24,51.23,-58.65,60.84,95,100,17.27
204,Kaitangata,NZ,7/12/2020 20:25,-46.28,169.85,37,76,6,5.01
205,Dogondoutchi,NE,7/12/2020 20:25,13.64,4.03,96.31,33,51,3.53
206,Puqi,CN,7/12/2020 20:25,29.72,113.88,72.1,94,100,2.44
207,Shelabolikha,RU,7/12/2020 20:25,53.41,82.62,64.4,68,84,4.47
208,Airai,TL,7/12/2020 20:25,-8.93,125.41,55.9,97,92,4.36
209,Isangel,VU,7/12/2020 20:25,-19.55,169.27,73.4,78,20,11.41
210,Talnakh,RU,7/12/2020 20:25,69.49,88.4,53.6,93,75,11.18
211,Dhidhdhoo,MV,7/12/2020 20:25,6.88,73.1,83.43,72,5,6.26
212,Syedove,UA,7/12/2020 20:25,47.08,38.16,81,100,1,11.99
213,Cabo San Lucas,MX,7/12/2020 20:25,22.89,-109.91,93.2,46,40,11.41
214,Padang,ID,7/12/2020 20:23,-0.95,100.35,76.73,81,24,4.29
215,Ulukulevo,RU,7/12/2020 20:25,54.44,56.32,66.2,72,0,4.47
216,Tuktoyaktuk,CA,7/12/2020 20:25,69.45,-133.04,57.2,67,40,9.17
217,Tuatapere,NZ,7/12/2020 20:25,-46.13,167.68,39,83,72,3
218,Teluk Nibung,ID,7/12/2020 20:25,3,99.82,75.24,92,91,4.81
219,Batemans Bay,AU,7/12/2020 20:25,-35.72,150.18,52,94,98,1.01
220,Kodiak,US,7/12/2020 20:25,57.79,-152.41,55.4,71,90,10.29
221,Sioux Lookout,CA,7/12/2020 20:25,50.1,-91.92,71.6,60,75,2.24
222,Narrabri,AU,7/12/2020 20:25,-30.32,149.78,39.2,93,90,2.04
223,Lompoc,US,7/12/2020 20:25,34.64,-120.46,78.01,60,0,17.22
224,Krasnokamensk,RU,7/12/2020 20:25,50.1,118.04,61.54,82,100,3.53
225,Cortez,US,7/12/2020 20:25,37.35,-108.59,98.6,12,1,11.41
226,Harper,LR,7/12/2020 20:25,4.38,-7.72,75.49,79,76,8.3
227,Ozu,JP,7/12/2020 20:25,33.5,132.55,71.01,99,100,3.56
228,Durusu,TR,7/12/2020 20:20,41.31,28.68,75.99,78,0,8.05
229,Kurumkan,RU,7/12/2020 20:24,54.3,110.3,62.96,74,100,0.96
230,Shelburne,CA,7/12/2020 20:25,44.08,-80.2,71.01,88,75,8.05
231,Muros,ES,7/12/2020 20:24,42.78,-9.06,73.99,64,0,13
232,Aleksandrov Gay,RU,7/12/2020 20:21,50.15,48.57,79.5,48,76,4.9
233,Yerbogachen,RU,7/12/2020 20:25,61.28,108.01,54.54,88,0,3.58
234,Alamosa,US,7/12/2020 20:25,37.47,-105.87,89.6,9,1,6.76
235,Umm Lajj,SA,7/12/2020 20:24,25.02,37.27,84.99,62,0,5.75
