City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description,Rain (inches),Snow (inches)
463,Stromness,GB,58.97,-3.3,51.8,93,99,4.7,overcast clouds,0,0
464,Synya,RU,65.37,58.04,58.57,96,98,4.54,overcast clouds,0,0
465,Ourossogui,SN,15.61,-13.32,83.57,51,0,14.27,clear sky,0,0
466,Kurilsk,RU,45.23,147.88,57.29,74,22,2.95,few clouds,0,0
467,Neiafu,TO,-18.65,-173.98,78.8,61,20,14.99,few clouds,0,0
468,Saraland,US,30.82,-88.07,84.0,81,69,3.0,light rain,0.31,0
469,Zastavna,UA,48.52,25.84,54.0,69,0,2.66,clear sky,0,0
470,Buta,CD,2.79,24.73,67.73,97,68,0.07,broken clouds,0,0
471,Sebastian,US,35.17,-94.27,87.8,55,1,5.82,clear sky,0,0
472,Cap-Chat,CA,49.1,-66.68,58.48,55,91,5.79,overcast clouds,0,0
473,Southbridge,US,42.08,-72.03,66.0,93,1,4.92,clear sky,0,0
474,Ballina,AU,-28.87,153.57,68.0,42,0,13.87,clear sky,0,0
475,Marawi,PH,8.0,124.29,84.0,76,12,5.99,light rain,0.18,0
476,Rawson,AR,-43.3,-65.1,39.13,69,26,7.31,scattered clouds,0,0
477,Parabel,RU,58.7,81.48,63.09,59,32,7.05,scattered clouds,0,0
478,Thunder Bay,CA,48.4,-89.32,66.2,93,20,3.67,fog,0,0
479,Urumqi,CN,43.8,87.6,78.8,34,0,6.71,clear sky,0,0
480,Tiksi,RU,71.69,128.87,43.07,72,0,10.67,clear sky,0,0
481,Prado,BR,-17.34,-39.22,70.99,91,2,4.76,clear sky,0,0
482,Kedrovyy,RU,56.17,91.82,60.8,67,40,15.66,scattered clouds,0,0
483,Harper,LR,4.38,-7.72,73.54,78,63,7.85,broken clouds,0,0
484,Zhigalovo,RU,54.81,105.16,76.42,60,100,6.82,overcast clouds,0,0
485,Hambantota,LK,6.12,81.12,78.8,100,75,5.82,broken clouds,0,0
486,Peruibe,BR,-24.32,-47.0,62.58,87,100,4.47,overcast clouds,0,0
487,Alvorada,BR,-12.48,-49.12,69.42,39,1,4.03,clear sky,0,0
488,Koumac,NC,-20.57,164.28,73.87,77,50,10.58,scattered clouds,0,0
489,Kawalu,ID,-7.38,108.21,81.18,71,100,3.27,light rain,0.54,0
490,Vuktyl,RU,63.86,57.31,69.22,82,47,7.58,scattered clouds,0,0
491,San Lorenzo,PY,-25.33,-57.53,53.6,62,0,9.17,clear sky,0,0
492,Vila Franca Do Campo,PT,37.72,-25.43,66.2,88,75,5.82,broken clouds,0,0
493,Biak,ID,-0.91,122.88,80.06,82,65,6.76,moderate rain,2.17,0
494,Tabou,CI,4.42,-7.35,73.29,81,92,7.67,overcast clouds,0,0
495,Novopskov,UA,49.55,39.09,59.9,81,100,15.48,overcast clouds,0,0
496,Jiaojiang,CN,28.68,121.44,89.01,76,44,4.0,scattered clouds,0,0
497,Fortuna,US,40.6,-124.16,61.0,82,1,11.41,clear sky,0,0
498,Coquimbo,CL,-29.95,-71.34,51.8,93,90,3.36,overcast clouds,0,0
499,Saurimo,AO,-9.66,20.39,57.83,35,0,6.89,clear sky,0,0
500,Artyom,AZ,40.47,50.33,78.8,69,20,11.41,few clouds,0,0
501,Shkotovo,RU,43.33,132.36,68.0,77,75,13.42,broken clouds,0,0
502,Bintulu,MY,3.17,113.03,80.6,88,20,4.7,few clouds,0,0
503,Cambre,ES,43.29,-8.35,63.0,82,90,8.05,overcast clouds,0,0
504,Sanda,JP,34.88,135.23,77.0,78,75,5.82,broken clouds,0,0
505,Carndonagh,IE,55.25,-7.27,53.98,95,100,12.15,light rain,0.19,0
506,Havelock,US,34.88,-76.9,84.0,74,1,4.7,clear sky,0,0
507,Madimba,TZ,-10.4,40.33,68.0,100,20,11.41,few clouds,0,0
508,Puerto Escondido,MX,15.85,-97.07,81.1,76,96,2.86,overcast clouds,0,0
509,Sur,OM,22.57,59.53,87.57,58,0,8.03,clear sky,0,0
510,Tocopilla,CL,-22.09,-70.2,59.11,62,0,3.87,clear sky,0,0
